serverId,name,categories
2101,Shulkersteal,smp|factions|pvp
2102,7UPsmpjava,smp|rolePlay
2103,MiniChickSMP,smp
2104,JortEnSeth,smp|farming|rpg
2105,BoxUS,pvp|farming|box
2106,VladeSMP,smp|factions|rpg
2107,3000Survival,smp
2108,catcillow1,smp
2109,SimpForRem,smp
2110,PeoplePlace,smp
2111,Xterra,smp
2112,Canon5mp,smp|pvp
2113,BridgerLand,minigames|creative|pvp
2114,RivalNetwork,pvp
2115,ZombiakMC,smp
2116,radoactvebox,box
2117,SplashPit,oldPVP|pvp
2118,StanGamerSMP,smp
2119,visorgen,gens|factions|pvp
2120,6ASimps,smp
2121,NetheriteDog,smp
2122,SufiSMP,smp
2123,awsomekang,smp
2124,Coomersquad,smp
2125,TheGreatSMP,smp
2126,Xdoy,smp|factions
2127,YoBoxes,pvp
2128,evolimit,pvp|rolePlay|rpg
2129,EversetPlay,smp
2130,SlippyRB,smp
2131,De3seje,smp
2132,bionycsmod,pvp|smp|factions
2133,HypnoMine,smp|factions|minigames
2134,FreekieB,smp
2135,HarMoNiYa,smp
2136,sometingi,oldPVP
2137,HeavyHunt,smp
2138,AlphaKitPvP,pvp|oldPVP
2139,LifeSte0lSMP,box
2140,Genie34,pvp
2141,BoxxSurv,pvp|minigames
2142,5GuysSmp,smp
2143,Fina1SMP3,smp
2144,Littee,creative
2145,crosover,smp|pvp|oldPVP
2146,HackedMines,box
2147,poopiedoopi,smp
2148,SpecialBox,smp|farming
2149,MerahSMPS2,smp
2150,storymodebox,box
2151,LeCookiSMP,smp
2152,Getlifesteal,smp|pvp
2153,IsPog,smp
2154,omgsuperfun,smp
2155,SMP8869,smp
2156,PractisePvP,gens|pvp|farming
2157,vau1tsmp,smp|modded
2158,JeremyDino,smp|minigames|modded
2159,BladeSMP2354,smp
2160,L1fest3alSMP,smp|pvp
2161,LifeStealFXT,smp|pvp|farming
2162,afunrpgimade,smp|rolePlay
2163,MakkaPa,smp|farming|pvp
2164,fillets,pvp|rpg
2165,ncitycraftin,smp
2166,bewp,smp
2167,SpBubbleSMP,smp|factions|minigames
2168,ParkourCore,pvp|oldPVP
2169,PotsBox,pvp
2170,545454545a,smp
2171,raidstealsmp,smp|factions|pvp
2172,pvpdanish,pvp
2173,CreeperCode1,smp|rpg|modded
2174,LogzSMP,smp
2175,life299,smp
2176,L1feSteal,smp
2177,LifestealPLZ,smp|modded|pvp
2178,AlterRat,smp
2179,Diferenter,smp
2180,DynastyRPG,rpg|rolePlay|smp
2181,TurtlesBox,pvp|smp|minigames
2182,Skywarbox2,pvp|box
2183,Lifesteals36,smp|pvp
2184,WH0smp,smp|pvp
2185,tisthing,pvp
2186,hehehehehheh,rpg
2187,deathshuffle,modded
2188,brhh1232,smp
2189,Dragonitze,smp|creative|pvp
2190,GunBox,pvp
2191,FeatherSmpX,oldPVP|pvp
2192,itzjeffworld,smp|pvp
2193,PvpCentury,oldPVP|pvp
2194,WorldgSmp,smp|pvp
2195,survivaltwop,smp
2196,AndesiteBox,pvp
2197,PillarBox,pvp
2198,emiann,smp
2199,Stormsbox,skyblock
2200,FearBox,pvp|gens
2201,kiruscottage,smp
2202,SkyBoxGen,gens
2203,ACsMobs,modded
2204,YourIsekai,rolePlay|rpg
2205,FilipNotSV,smp
2206,ApsBox,box|pvp|smp
2207,mt3bISgay,pvp|minigames
2208,dlfbn,pvp
2209,christhecool,smp
2210,CheesePvp6,pvp
2211,THDN,smp
2212,SkyMinerGen,gens
2213,MedievaTown,modded|rolePlay|rpg
2214,ponystal,smp
2215,MINEz1,pvp|minigames
2216,hongbox,pvp
2217,InsaneBoxPvP,pvp|box
2218,AnarAnarchy,smp|pvp
2219,anarchy9823,creative
2220,SSeaCraft,smp
2221,rosOutcast,smp
2222,Kopesh,smp
2223,CentralSMP,smp|factions
2224,Blamedsmp,smp
2225,RageCrafter,farming|skyblock|minigames
2226,PlayInBox,prison|farming
2227,LondSteal,modded|smp
2228,LifeStealVI,box
2229,CrushRbox,box
2230,BaconBunk,pvp
2231,ZapSMPwastkn,smp
2232,PixelTrail,smp
2233,loldogSMP,smp
2234,AquaMiner,pvp|oldPVP|prison
2235,Theplatypus,smp
2236,ezurmomsmp,smp
2237,ztrutz,creative
2238,RMA2,creative
2239,ZerodropSMP,smp|pvp
2240,atestaaaaa,minigames|pvp
2241,RyukNeKair,modded
2242,AwakenSMP998,smp
2243,CookiexCove,smp|pvp
2244,therosees,smp
2245,135box,smp|box|pvp
2246,BambooBoxx,smp
2247,GiveMeLiver,prison|farming|minigames
2248,MoodySpot,smp
2249,BananRiseSMP,smp
2250,RaM3nSMP2,smp|rolePlay
2251,gaynickers,smp
2252,Pungfan,smp
2253,AwakenSMPN,smp
2254,EPICGODLYSMP,pvp|box
2255,StealzDupe,pvp|gens|minigames
2256,BoxGen5643,smp|factions|gens
2257,TheProPrison,prison|rolePlay
2258,CompSurvival,smp|oldPVP|modded
2259,ToyBoxx,pvp|box
2260,BradDiary,smp|pvp|farming
2261,Gamer09TV,smp|rolePlay|pvp
2262,YeaBox,pvp
2263,MythicBox1,pvp|gens
2264,dead11smp,smp
2265,revengeSMPxD,smp
2266,P3EpSMP,smp|rolePlay
2267,PeoplesThe,smp
2268,EnchantiSmp,smp
2269,CrazyCoolBox,pvp|modded
2270,FlameBurst,smp|rpg|pvp
2271,ElectricGN,gens|farming|smp
2272,longkingkong,smp
2273,daniumbus,box|pvp|minigames
2274,EnchantedSMP,smp
2275,lamay,smp
2276,SkyGun,pvp|prison|skyblock
2277,TestowoMC,modded
2278,FreeFunBox,rpg
2279,tdssmp69,smp
2280,GORBO,prison
2281,clockworksss,smp|rolePlay|pvp
2282,tanet,pvp|gens|minigames
2283,LifeZ1EEl,pvp|smp
2284,Andrei1269,smp
2285,bricksrule,rolePlay
2286,2G0G,factions|pvp|rolePlay
2287,InPvPIta,pvp|farming|rpg
2288,SnowyBoxX,box|pvp|modded
2289,Ez4MeServer,smp
2290,TheCandyBox,gens|pvp|box
2291,IcyRiiderr,smp
2292,DarkMagicMC,gens
2293,uashd,smp
2294,Poilter,creative
2295,justsgg,smp
2296,plossaland,smp
2297,qwal,pvp|box|minigames
2298,AyoBox,pvp|smp
2299,EithanBox,modded|pvp|gens
2300,Pikaswelt,minigames
2301,Tulp,farming|pvp
2302,Francexsm,smp
2303,Foxdun,rpg
2304,BoxCapybara,pvp|gens
2305,dnfgofy,smp
2306,demoo,pvp|modded
2307,DollyPSMP,smp
2308,mothorigins,smp
2309,VandourSMP,smp|pvp
2310,Aussersmp,smp
2311,ToperGames,minigames
2312,PuniniDub,smp|pvp
2313,TravelersSMP,smp
2314,QBoxPlus,pvp|box|minigames
2315,Vercales,smp|pvp|farming
2316,Imminence,smp|pvp
2317,RoleplaySMP2,rolePlay|prison|factions
2318,FruitSky,pvp|oldPVP|farming
2319,anarchy19334,creative
2320,ENDFABSMP,smp
2321,HeadDupe,smp
